cell_line_name,alpha,beta,SF2,R2,AUC
Panc 04.03,0.216088629618555,0.0,0.488883014,0.9584068,3.1951747768467
SNU-308,0.0,0.0182506070379651,0.804735457,0.9341223,5.18539734599751
TCC-PAN2,0.28240669237321,0.0,0.619842251,0.9590059,2.45958394808219
PE/CA-PJ41 (clone D2),0.441819221556338,0.0,0.57526986,0.9598629,1.42775552353019
COV434,0.325770253093546,0.0,0.43424852,0.7770026,2.09808703199643
OVCAR-4,0.398786131791187,0.0,0.392554631,0.8120386,1.63645334375721
NCI-H69,0.369295716484753,0.0,0.471094972,0.9649076,1.80430663083243
NCI-H1568,0.255173986486092,0.0,0.607939586,0.9190387,2.7308259815951
SW1116,0.164933537517425,0.0,0.773368828,0.96936,3.97598012367832
HOP-62,0.417690780464806,0.0,0.375116072,0.865221,1.53994289961095
CAL-12T,0.326071389274084,0.0,0.53542836,0.9250225,2.09358491064241
SCC-25,0.401652205332744,0.0,0.416804155,0.983934,1.62129805922771
MKN7,0.242671801028266,0.0,0.454959967,0.7811618,2.86890651054653
HT-1197,0.113521410429186,0.0031818293787649,0.803979426,0.9857651,4.6064740319429
NCI-H747,0.229422225886837,0.0,0.595729259,0.9385253,3.02565718460525
Becker,0.0615393017746675,0.0372163328544762,0.657815637,0.9881113,2.89835996576545
IGR-37,0.0240572072511745,0.0129125834342099,0.894010607,0.9911086,5.3416940028834
TUHR10TKB,0.132513141031851,0.0,0.616413807,0.5978716,4.60424820534956
KYSE-70,0.114016007061665,0.018803641263136,0.720274691,0.9604228,3.2335982634593
SNU-1272,0.0754346141630698,0.0,0.651252772,0.1718317,6.05852277431937
HCC-15,0.412872274716508,0.0052753871142387,0.481943174,0.9859042,1.45817058240066
KYSE-150,0.129569491850775,0.0260828290952871,0.559218922,0.9670847,2.71903315347219
SNU-685,0.240784930368156,0.0014229240002468,0.609792492,0.9956532,2.80563954298767
HCC827,0.2773026697499,0.0,0.493884051,0.9126464,2.50755775179345
HCC-2279,0.266440824075796,0.0,0.498682412,0.9739678,2.61394171772607
TE-10,0.206724825283952,0.0127604192688605,0.685514502,0.9811726,2.57659336095792
HSC-2,0.0,0.0366445201147502,0.887279462,0.9611142,3.60986323577723
NCI-H1666,0.10388611295441,0.0,0.803448349,0.7015157,5.26991024327026
EBC-1,0.26848511524545,0.0,0.756575446,0.9621807,2.59346017272455
MKN74,0.249175101846787,0.0,0.472168475,0.9588251,2.79548565355409
HCC2935,0.108381088264284,0.0,0.607555122,0.5050742,5.1575580707606
MHH-NB-11,0.752092556612415,0.0,0.0652,0.7260657,0.62603664576421
SW48,0.535629388124781,0.0,0.297809298,0.8499332,1.08392564924268
NCI-H292,0.0258713193096635,0.0171979998385745,1.053865373,0.939799,4.71881832804624
SNU-C2A,0.327722578056778,0.0,0.291814719,0.7521016,2.08356136218812
OE33,0.419436791426587,0.0,0.280098351,0.9249593,1.53142671339395
SK-UT-1,0.526264007253617,0.0,0.356971744,0.9932684,1.11279983347833
IGR-39,0.153433898984187,0.0044372243481145,0.93142577,0.9543568,3.73299858897525
SW579,0.192581686215454,0.0213708838346237,0.746195513,0.9900396,2.36038237735122
